############################################################
2020-07-17 09:30:50
[DataFrame Name] report/one_class/one_class_[1_-1_1]_[1_1_1]_[0.1]_[30]/result_df.pkl
[Normal Mean] 1_-1_1
[Abnormal Mean] 1_1_1
[Model] one_class
[Eta] 1.0
[Epochs] 100
[Cut Threshold with 0.05 FP Rate] 0.14839608818292618
[Cut Threshold with 0.01 FP Rate] 0.18757469967007637
[A/N Ratio] 1:0.1
[Recall for TEST (FP = 0.05)] 1.0
[Recall for TEST (FP = 0.01)] 0.9666666666666667
---------------------
============================================================
Recall when d0i changes (FPR=10%):
[d0i=10.25; d1i=2.5; recall=0.972]
[d0i=10.25; d1i=2.5; recall=0.85]
[d0i=20.01206490207578; d1i=2.5; recall=1.0]
[d0i=13.26162533008377; d1i=2.5; recall=1.0]
[d0i=1.4170302452914099; d1i=2.5; recall=0.72]
[d0i=4.513377886962274; d1i=2.5; recall=0.01]
[d0i=17.3132051979221; d1i=2.5; recall=1.0]
[d0i=18.165641398303734; d1i=2.5; recall=1.0]
[d0i=5.628793127034971; d1i=2.5; recall=1.0]
[d0i=0.908702880925617; d1i=2.5; recall=0.0]
[d0i=11.98938962406916; d1i=2.5; recall=0.972]
[d0i=20.127903861938556; d1i=2.5; recall=1.0]
[d0i=11.55797236103922; d1i=2.5; recall=1.0]
[d0i=10.25; d1i=2.5; recall=1.0]
[d0i=13.26162533008377; d1i=2.5; recall=1.0]
[d0i=11.179095147367192; d1i=2.5; recall=1.0]
[d0i=7.525003217046046; d1i=2.5; recall=1.0]
[d0i=8.480235443213509; d1i=2.5; recall=0.995]
[d0i=12.429019285266008; d1i=2.5; recall=1.0]
[d0i=12.691998324957071; d1i=2.5; recall=1.0]
[d0i=8.82434427922935; d1i=2.5; recall=1.0]
[d0i=7.36818275110413; d1i=2.5; recall=0.994]
[d0i=10.786606742864176; d1i=2.5; recall=1.0]
[d0i=13.297361985108378; d1i=2.5; recall=1.0]
[d0i=10.653513266206371; d1i=2.5; recall=1.0]
[d0i=10.25; d1i=2.5; recall=1.0]
[d0i=1.4170302452914094; d1i=2.5; recall=0.345]
[d0i=7.525003217046044; d1i=2.5; recall=0.555]
[d0i=18.24230034528929; d1i=2.5; recall=1.0]
[d0i=15.440644615349779; d1i=2.5; recall=1.0]
[d0i=3.859028570248479; d1i=2.5; recall=1.0]
[d0i=3.0877221661916243; d1i=2.5; recall=0.001]
[d0i=14.431387949026226; d1i=2.5; recall=1.0]
[d0i=18.702248141167914; d1i=2.5; recall=1.0]
[d0i=8.676155112143345; d1i=2.5; recall=1.0]
[d0i=1.312216147131988; d1i=2.5; recall=0.087]
[d0i=9.066512651683198; d1i=2.5; recall=0.85]
[d0i=10.25; d1i=2.5; recall=1.0]
[d0i=4.5133778869622745; d1i=2.5; recall=0.301]
[d0i=8.480235443213509; d1i=2.5; recall=0.072]
[d0i=15.440644615349782; d1i=2.5; recall=1.0]
[d0i=13.621093472324262; d1i=2.5; recall=1.0]
[d0i=6.0993474962753975; d1i=2.5; recall=0.978]
[d0i=5.59841819431764; d1i=2.5; recall=0.013]
[d0i=12.965626028130185; d1i=2.5; recall=0.932]
[d0i=15.739360310065447; d1i=2.5; recall=1.0]
[d0i=9.227857545435725; d1i=2.5; recall=1.0]
[d0i=4.4453057787181685; d1i=2.5; recall=0.114]
[d0i=9.481377454990673; d1i=2.5; recall=0.173]
[d0i=10.25; d1i=2.5; recall=0.24]
[d0i=17.3132051979221; d1i=2.5; recall=1.0]
[d0i=12.429019285266008; d1i=2.5; recall=1.0]
[d0i=3.8590285702484772; d1i=2.5; recall=0.703]
[d0i=6.099347496275396; d1i=2.5; recall=0.0]
[d0i=15.36048309639342; d1i=2.5; recall=1.0]
[d0i=15.977251358213953; d1i=2.5; recall=1.0]
[d0i=6.906390555356855; d1i=2.5; recall=1.0]
[d0i=3.4912354323979953; d1i=2.5; recall=0.003]
[d0i=11.508510976640267; d1i=2.5; recall=0.573]
[d0i=17.397018853294405; d1i=2.5; recall=1.0]
[d0i=11.196365064348853; d1i=2.5; recall=1.0]
[d0i=10.25; d1i=2.5; recall=0.97]
[d0i=18.165641398303734; d1i=2.5; recall=1.0]
[d0i=12.69199832495707; d1i=2.5; recall=1.0]
[d0i=3.0877221661916243; d1i=2.5; recall=0.963]
[d0i=5.598418194317638; d1i=2.5; recall=0.105]
[d0i=15.977251358213953; d1i=2.5; recall=1.0]
[d0i=16.668455457432636; d1i=2.5; recall=1.0]
[d0i=6.502860762481767; d1i=2.5; recall=1.0]
[d0i=2.6755412219316757; d1i=2.5; recall=0.055]
[d0i=11.66039674025668; d1i=2.5; recall=0.997]
[d0i=18.259570262270955; d1i=2.5; recall=1.0]
[d0i=11.310578911606862; d1i=2.5; recall=1.0]
[d0i=10.25; d1i=2.5; recall=1.0]
[d0i=5.628793127034969; d1i=2.5; recall=0.982]
[d0i=8.82434427922935; d1i=2.5; recall=0.971]
[d0i=14.431387949026227; d1i=2.5; recall=1.0]
[d0i=12.965626028130185; d1i=2.5; recall=1.0]
[d0i=6.906390555356856; d1i=2.5; recall=1.0]
[d0i=6.502860762481767; d1i=2.5; recall=0.846]
[d0i=12.437606124007457; d1i=2.5; recall=1.0]
[d0i=14.67202207034045; d1i=2.5; recall=1.0]
[d0i=9.426600507562362; d1i=2.5; recall=1.0]
[d0i=5.573956798569139; d1i=2.5; recall=0.955]
[d0i=9.630826605322255; d1i=2.5; recall=0.994]
