############################################################
2020-08-10 07:54:46
[DataFrame Name] report/one_class/one_class_[1_1_1]_[1_1_3]_[0.1]_[30]/result_df.pkl
[Normal Mean] 1_1_1
[Abnormal Mean] 1_1_3
[Model] one_class
[Eta] 1.0
[Epochs] 100
[Cut Threshold with 0.05 FP Rate] 0.01747222254052758
[Cut Threshold with 0.01 FP Rate] 0.03383791115134954
[A/N Ratio] 1:0.1
[Recall for TEST (FP = 0.05)] 0.05
[Recall for TEST (FP = 0.01)] 0.0
---------------------
============================================================
Recall when d0i changes (FPR=10%):
[d0i=20.25; d1i=2.5; recall=0.72]
[d0i=11.792514498875843; d1i=2.5; recall=1.0]
[d0i=11.79251449887584; d1i=2.5; recall=1.0]
[d0i=11.79251449887584; d1i=2.5; recall=1.0]
[d0i=11.792514498875843; d1i=2.5; recall=1.0]
[d0i=11.792514498875843; d1i=2.5; recall=0.734]
[d0i=11.792514498875843; d1i=2.5; recall=1.0]
[d0i=11.79251449887584; d1i=2.5; recall=1.0]
[d0i=11.792514498875843; d1i=2.5; recall=1.0]
[d0i=11.792514498875843; d1i=2.5; recall=0.714]
[d0i=11.79251449887584; d1i=2.5; recall=1.0]
[d0i=11.792514498875839; d1i=2.5; recall=1.0]
[d0i=11.792514498875843; d1i=2.5; recall=1.0]
[d0i=0.725870195848437; d1i=2.5; recall=0.189]
[d0i=0.725870195848437; d1i=2.5; recall=0.766]
[d0i=0.725870195848437; d1i=2.5; recall=0.665]
[d0i=0.725870195848437; d1i=2.5; recall=0.486]
[d0i=0.725870195848437; d1i=2.5; recall=0.057]
[d0i=0.7258701958484373; d1i=2.5; recall=0.518]
[d0i=0.725870195848437; d1i=2.5; recall=0.822]
[d0i=0.725870195848437; d1i=2.5; recall=0.317]
[d0i=0.725870195848437; d1i=2.5; recall=0.233]
[d0i=0.725870195848437; d1i=2.5; recall=0.24]
[d0i=0.725870195848437; d1i=2.5; recall=0.811]
[d0i=0.725870195848437; d1i=2.5; recall=0.577]
[d0i=5.769263838708299; d1i=2.5; recall=1.0]
[d0i=5.769263838708299; d1i=2.5; recall=0.999]
[d0i=5.769263838708298; d1i=2.5; recall=0.99]
[d0i=5.769263838708299; d1i=2.5; recall=1.0]
[d0i=5.769263838708298; d1i=2.5; recall=1.0]
[d0i=5.769263838708299; d1i=2.5; recall=1.0]
[d0i=5.769263838708298; d1i=2.5; recall=0.126]
[d0i=5.769263838708298; d1i=2.5; recall=1.0]
[d0i=5.769263838708299; d1i=2.5; recall=1.0]
[d0i=5.769263838708297; d1i=2.5; recall=1.0]
[d0i=5.769263838708297; d1i=2.5; recall=0.976]
[d0i=5.769263838708298; d1i=2.5; recall=1.0]
[d0i=18.39180970526562; d1i=2.5; recall=0.991]
[d0i=18.39180970526562; d1i=2.5; recall=0.999]
[d0i=18.39180970526562; d1i=2.5; recall=0.156]
[d0i=18.39180970526562; d1i=2.5; recall=0.443]
[d0i=18.39180970526562; d1i=2.5; recall=0.95]
[d0i=18.39180970526562; d1i=2.5; recall=1.0]
[d0i=18.39180970526562; d1i=2.5; recall=0.401]
[d0i=18.39180970526562; d1i=2.5; recall=0.386]
[d0i=18.39180970526562; d1i=2.5; recall=0.882]
[d0i=18.39180970526562; d1i=2.5; recall=0.999]
[d0i=18.39180970526562; d1i=2.5; recall=0.995]
[d0i=18.39180970526562; d1i=2.5; recall=0.276]
[d0i=17.242508064783745; d1i=2.5; recall=0.761]
[d0i=17.24250806478375; d1i=2.5; recall=0.947]
[d0i=17.242508064783745; d1i=2.5; recall=0.997]
[d0i=17.242508064783745; d1i=2.5; recall=1.0]
[d0i=17.242508064783745; d1i=2.5; recall=0.122]
[d0i=17.242508064783745; d1i=2.5; recall=0.699]
[d0i=17.242508064783745; d1i=2.5; recall=0.995]
[d0i=17.242508064783745; d1i=2.5; recall=1.0]
[d0i=17.24250806478375; d1i=2.5; recall=0.865]
[d0i=17.242508064783745; d1i=2.5; recall=0.817]
[d0i=17.242508064783745; d1i=2.5; recall=0.972]
[d0i=17.24250806478375; d1i=2.5; recall=0.999]
[d0i=4.265399309421419; d1i=2.5; recall=0.997]
[d0i=4.265399309421418; d1i=2.5; recall=1.0]
[d0i=4.265399309421418; d1i=2.5; recall=1.0]
[d0i=4.265399309421418; d1i=2.5; recall=1.0]
[d0i=4.265399309421419; d1i=2.5; recall=0.658]
[d0i=4.265399309421418; d1i=2.5; recall=0.999]
[d0i=4.265399309421418; d1i=2.5; recall=1.0]
[d0i=4.265399309421419; d1i=2.5; recall=0.999]
[d0i=4.265399309421418; d1i=2.5; recall=0.415]
[d0i=4.265399309421419; d1i=2.5; recall=1.0]
[d0i=4.265399309421418; d1i=2.5; recall=1.0]
