############################################################
2020-08-10 08:03:46
[DataFrame Name] report/one_class/one_class_unsupervised_[1_1_1]_[1_1_2]_[0.1]_[30]/result_df.pkl
[Normal Mean] 1_1_1
[Abnormal Mean] 
[Model] one_class_unsupervised
[Eta] 1.0
[Epochs] 100
[Cut Threshold with 0.05 FP Rate] 0.001558376068715006
[Cut Threshold with 0.01 FP Rate] 0.002771350080147384
---------------------
============================================================
Recall when d0i changes (FPR=10%):
[d0i=12.25; d1i=2.5; recall=0.637]
[d0i=8.021257249437921; d1i=2.5; recall=1.0]
[d0i=8.02125724943792; d1i=2.5; recall=0.943]
[d0i=8.02125724943792; d1i=2.5; recall=1.0]
[d0i=8.021257249437921; d1i=2.5; recall=0.999]
[d0i=8.021257249437921; d1i=2.5; recall=1.0]
[d0i=8.021257249437921; d1i=2.5; recall=1.0]
[d0i=8.02125724943792; d1i=2.5; recall=1.0]
[d0i=8.021257249437921; d1i=2.5; recall=1.0]
[d0i=8.021257249437921; d1i=2.5; recall=0.284]
[d0i=8.02125724943792; d1i=2.5; recall=1.0]
[d0i=8.02125724943792; d1i=2.5; recall=0.968]
[d0i=8.021257249437921; d1i=2.5; recall=1.0]
[d0i=2.4879350979242187; d1i=2.5; recall=0.944]
[d0i=2.4879350979242187; d1i=2.5; recall=0.951]
[d0i=2.4879350979242187; d1i=2.5; recall=0.854]
[d0i=2.4879350979242187; d1i=2.5; recall=0.137]
[d0i=2.4879350979242187; d1i=2.5; recall=0.85]
[d0i=2.487935097924219; d1i=2.5; recall=0.952]
[d0i=2.4879350979242187; d1i=2.5; recall=0.932]
[d0i=2.4879350979242187; d1i=2.5; recall=0.505]
[d0i=2.4879350979242187; d1i=2.5; recall=0.392]
[d0i=2.4879350979242187; d1i=2.5; recall=0.947]
[d0i=2.4879350979242187; d1i=2.5; recall=0.941]
[d0i=2.4879350979242187; d1i=2.5; recall=0.808]
[d0i=5.00963191935415; d1i=2.5; recall=1.0]
[d0i=5.00963191935415; d1i=2.5; recall=0.453]
[d0i=5.009631919354149; d1i=2.5; recall=1.0]
[d0i=5.00963191935415; d1i=2.5; recall=1.0]
[d0i=5.009631919354149; d1i=2.5; recall=1.0]
[d0i=5.00963191935415; d1i=2.5; recall=0.999]
[d0i=5.009631919354149; d1i=2.5; recall=0.98]
[d0i=5.009631919354149; d1i=2.5; recall=1.0]
[d0i=5.00963191935415; d1i=2.5; recall=1.0]
[d0i=5.009631919354148; d1i=2.5; recall=1.0]
[d0i=5.009631919354148; d1i=2.5; recall=0.113]
[d0i=5.009631919354149; d1i=2.5; recall=1.0]
[d0i=11.32090485263281; d1i=2.5; recall=1.0]
[d0i=11.320904852632811; d1i=2.5; recall=0.879]
[d0i=11.32090485263281; d1i=2.5; recall=0.795]
[d0i=11.32090485263281; d1i=2.5; recall=0.153]
[d0i=11.32090485263281; d1i=2.5; recall=0.999]
[d0i=11.320904852632811; d1i=2.5; recall=0.999]
[d0i=11.32090485263281; d1i=2.5; recall=0.159]
[d0i=11.320904852632811; d1i=2.5; recall=0.79]
[d0i=11.32090485263281; d1i=2.5; recall=0.881]
[d0i=11.320904852632811; d1i=2.5; recall=1.0]
[d0i=11.32090485263281; d1i=2.5; recall=0.658]
[d0i=11.320904852632811; d1i=2.5; recall=0.873]
[d0i=10.746254032391874; d1i=2.5; recall=0.991]
[d0i=10.746254032391874; d1i=2.5; recall=0.115]
[d0i=10.746254032391874; d1i=2.5; recall=1.0]
[d0i=10.746254032391874; d1i=2.5; recall=0.998]
[d0i=10.746254032391874; d1i=2.5; recall=0.873]
[d0i=10.746254032391874; d1i=2.5; recall=0.864]
[d0i=10.746254032391874; d1i=2.5; recall=0.998]
[d0i=10.746254032391874; d1i=2.5; recall=1.0]
[d0i=10.746254032391874; d1i=2.5; recall=0.105]
[d0i=10.746254032391874; d1i=2.5; recall=0.991]
[d0i=10.746254032391874; d1i=2.5; recall=0.32]
[d0i=10.746254032391874; d1i=2.5; recall=1.0]
[d0i=4.257699654710709; d1i=2.5; recall=1.0]
[d0i=4.257699654710708; d1i=2.5; recall=0.999]
[d0i=4.257699654710708; d1i=2.5; recall=1.0]
[d0i=4.257699654710708; d1i=2.5; recall=0.903]
[d0i=4.257699654710709; d1i=2.5; recall=1.0]
[d0i=4.257699654710708; d1i=2.5; recall=1.0]
[d0i=4.257699654710708; d1i=2.5; recall=1.0]
[d0i=4.257699654710709; d1i=2.5; recall=0.999]
[d0i=4.257699654710708; d1i=2.5; recall=0.577]
[d0i=4.257699654710709; d1i=2.5; recall=1.0]
[d0i=4.257699654710708; d1i=2.5; recall=1.0]
[d0i=4.257699654710708; d1i=2.5; recall=1.0]
[d0i=2.8306126340881415; d1i=2.5; recall=0.953]
[d0i=2.8306126340881415; d1i=2.5; recall=0.101]
[d0i=2.8306126340881415; d1i=2.5; recall=0.992]
[d0i=2.8306126340881406; d1i=2.5; recall=0.992]
[d0i=2.8306126340881415; d1i=2.5; recall=0.989]
[d0i=2.830612634088141; d1i=2.5; recall=0.671]
[d0i=2.8306126340881415; d1i=2.5; recall=0.855]
[d0i=2.8306126340881415; d1i=2.5; recall=0.998]
[d0i=2.8306126340881415; d1i=2.5; recall=0.992]
[d0i=2.8306126340881415; d1i=2.5; recall=0.935]
[d0i=2.8306126340881406; d1i=2.5; recall=0.129]
[d0i=2.8306126340881415; d1i=2.5; recall=0.995]
[d0i=8.87890652767574; d1i=2.5; recall=1.0]
[d0i=8.878906527675742; d1i=2.5; recall=0.874]
[d0i=8.87890652767574; d1i=2.5; recall=1.0]
[d0i=8.87890652767574; d1i=2.5; recall=0.915]
[d0i=8.87890652767574; d1i=2.5; recall=1.0]
[d0i=8.878906527675742; d1i=2.5; recall=1.0]
[d0i=8.878906527675738; d1i=2.5; recall=0.898]
[d0i=8.87890652767574; d1i=2.5; recall=1.0]
[d0i=8.87890652767574; d1i=2.5; recall=0.985]
[d0i=8.87890652767574; d1i=2.5; recall=1.0]
[d0i=8.87890652767574; d1i=2.5; recall=0.427]
[d0i=8.878906527675738; d1i=2.5; recall=1.0]
[d0i=12.17190975316252; d1i=2.5; recall=0.139]
[d0i=12.17190975316252; d1i=2.5; recall=0.465]
[d0i=12.171909753162522; d1i=2.5; recall=0.944]
[d0i=12.171909753162522; d1i=2.5; recall=0.856]
[d0i=12.17190975316252; d1i=2.5; recall=0.232]
[d0i=12.171909753162522; d1i=2.5; recall=0.232]
[d0i=12.17190975316252; d1i=2.5; recall=0.856]
[d0i=12.171909753162522; d1i=2.5; recall=0.944]
[d0i=12.17190975316252; d1i=2.5; recall=0.465]
[d0i=12.17190975316252; d1i=2.5; recall=0.139]
[d0i=12.171909753162522; d1i=2.5; recall=0.579]
[d0i=12.17190975316252; d1i=2.5; recall=0.947]
[d0i=7.13951690360658; d1i=2.5; recall=1.0]
[d0i=7.139516903606579; d1i=2.5; recall=0.99]
[d0i=7.13951690360658; d1i=2.5; recall=1.0]
[d0i=7.139516903606578; d1i=2.5; recall=0.998]
[d0i=7.13951690360658; d1i=2.5; recall=1.0]
[d0i=7.139516903606579; d1i=2.5; recall=1.0]
[d0i=7.139516903606578; d1i=2.5; recall=1.0]
[d0i=7.139516903606579; d1i=2.5; recall=1.0]
[d0i=7.139516903606581; d1i=2.5; recall=0.392]
