############################################################
2020-08-10 07:53:02
[DataFrame Name] report/rec/rec_[1_1_1]_[1_1_2]_[0.1]_[30]/result_df.pkl
[Normal Mean] 1_1_1
[Abnormal Mean] 1_1_2
[Model] rec
[Eta] 1.0
[Epochs] 100
[Cut Threshold with 0.05 FP Rate] 0.3184975981712341
[Cut Threshold with 0.01 FP Rate] 0.3687427008152008
[A/N Ratio] 1:0.1
[Recall for TEST (FP = 0.05)] 0.8833333333333333
[Recall for TEST (FP = 0.01)] 0.6
---------------------
============================================================
Recall when d0i changes (FPR=10%):
[d0i=12.25; d1i=2.5; recall=1.0]
[d0i=8.021257249437921; d1i=2.5; recall=0.99]
[d0i=8.02125724943792; d1i=2.5; recall=1.0]
[d0i=8.02125724943792; d1i=2.5; recall=1.0]
[d0i=8.021257249437921; d1i=2.5; recall=1.0]
[d0i=8.021257249437921; d1i=2.5; recall=0.976]
[d0i=8.021257249437921; d1i=2.5; recall=1.0]
[d0i=8.02125724943792; d1i=2.5; recall=1.0]
[d0i=8.021257249437921; d1i=2.5; recall=1.0]
[d0i=8.021257249437921; d1i=2.5; recall=0.999]
[d0i=8.02125724943792; d1i=2.5; recall=1.0]
[d0i=8.02125724943792; d1i=2.5; recall=1.0]
[d0i=8.021257249437921; d1i=2.5; recall=1.0]
[d0i=2.4879350979242187; d1i=2.5; recall=0.0]
[d0i=2.4879350979242187; d1i=2.5; recall=0.0]
[d0i=2.4879350979242187; d1i=2.5; recall=0.025]
[d0i=2.4879350979242187; d1i=2.5; recall=0.001]
[d0i=2.4879350979242187; d1i=2.5; recall=0.0]
[d0i=2.487935097924219; d1i=2.5; recall=0.0]
[d0i=2.4879350979242187; d1i=2.5; recall=0.002]
[d0i=2.4879350979242187; d1i=2.5; recall=0.028]
[d0i=2.4879350979242187; d1i=2.5; recall=0.0]
[d0i=2.4879350979242187; d1i=2.5; recall=0.0]
[d0i=2.4879350979242187; d1i=2.5; recall=0.0]
[d0i=2.4879350979242187; d1i=2.5; recall=0.035]
[d0i=5.00963191935415; d1i=2.5; recall=1.0]
[d0i=5.00963191935415; d1i=2.5; recall=0.84]
[d0i=5.009631919354149; d1i=2.5; recall=0.017]
[d0i=5.00963191935415; d1i=2.5; recall=0.876]
[d0i=5.009631919354149; d1i=2.5; recall=0.999]
[d0i=5.00963191935415; d1i=2.5; recall=0.999]
[d0i=5.009631919354149; d1i=2.5; recall=0.122]
[d0i=5.009631919354149; d1i=2.5; recall=0.48]
[d0i=5.00963191935415; d1i=2.5; recall=0.994]
[d0i=5.009631919354148; d1i=2.5; recall=1.0]
[d0i=5.009631919354148; d1i=2.5; recall=0.687]
[d0i=5.009631919354149; d1i=2.5; recall=0.028]
[d0i=11.32090485263281; d1i=2.5; recall=1.0]
[d0i=11.320904852632811; d1i=2.5; recall=1.0]
[d0i=11.32090485263281; d1i=2.5; recall=1.0]
[d0i=11.32090485263281; d1i=2.5; recall=1.0]
[d0i=11.32090485263281; d1i=2.5; recall=1.0]
[d0i=11.320904852632811; d1i=2.5; recall=1.0]
[d0i=11.32090485263281; d1i=2.5; recall=1.0]
[d0i=11.320904852632811; d1i=2.5; recall=1.0]
[d0i=11.32090485263281; d1i=2.5; recall=1.0]
[d0i=11.320904852632811; d1i=2.5; recall=1.0]
[d0i=11.32090485263281; d1i=2.5; recall=1.0]
[d0i=11.320904852632811; d1i=2.5; recall=1.0]
[d0i=10.746254032391874; d1i=2.5; recall=1.0]
[d0i=10.746254032391874; d1i=2.5; recall=1.0]
[d0i=10.746254032391874; d1i=2.5; recall=1.0]
[d0i=10.746254032391874; d1i=2.5; recall=1.0]
[d0i=10.746254032391874; d1i=2.5; recall=1.0]
[d0i=10.746254032391874; d1i=2.5; recall=1.0]
[d0i=10.746254032391874; d1i=2.5; recall=1.0]
[d0i=10.746254032391874; d1i=2.5; recall=1.0]
[d0i=10.746254032391874; d1i=2.5; recall=1.0]
[d0i=10.746254032391874; d1i=2.5; recall=1.0]
[d0i=10.746254032391874; d1i=2.5; recall=1.0]
[d0i=10.746254032391874; d1i=2.5; recall=1.0]
[d0i=4.257699654710709; d1i=2.5; recall=0.005]
[d0i=4.257699654710708; d1i=2.5; recall=0.624]
[d0i=4.257699654710708; d1i=2.5; recall=0.998]
[d0i=4.257699654710708; d1i=2.5; recall=0.852]
[d0i=4.257699654710709; d1i=2.5; recall=0.002]
[d0i=4.257699654710708; d1i=2.5; recall=0.295]
[d0i=4.257699654710708; d1i=2.5; recall=0.959]
[d0i=4.257699654710709; d1i=2.5; recall=0.997]
[d0i=4.257699654710708; d1i=2.5; recall=0.075]
[d0i=4.257699654710709; d1i=2.5; recall=0.021]
[d0i=4.257699654710708; d1i=2.5; recall=0.729]
[d0i=4.257699654710708; d1i=2.5; recall=0.998]
[d0i=2.8306126340881415; d1i=2.5; recall=0.349]
[d0i=2.8306126340881415; d1i=2.5; recall=0.004]
[d0i=2.8306126340881415; d1i=2.5; recall=0.0]
[d0i=2.8306126340881406; d1i=2.5; recall=0.001]
[d0i=2.8306126340881415; d1i=2.5; recall=0.179]
[d0i=2.830612634088141; d1i=2.5; recall=0.165]
[d0i=2.8306126340881415; d1i=2.5; recall=0.0]
[d0i=2.8306126340881415; d1i=2.5; recall=0.0]
[d0i=2.8306126340881415; d1i=2.5; recall=0.021]
[d0i=2.8306126340881415; d1i=2.5; recall=0.349]
[d0i=2.8306126340881406; d1i=2.5; recall=0.0]
[d0i=2.8306126340881415; d1i=2.5; recall=0.0]
[d0i=8.87890652767574; d1i=2.5; recall=1.0]
[d0i=8.878906527675742; d1i=2.5; recall=1.0]
[d0i=8.87890652767574; d1i=2.5; recall=0.999]
[d0i=8.87890652767574; d1i=2.5; recall=1.0]
[d0i=8.87890652767574; d1i=2.5; recall=1.0]
[d0i=8.878906527675742; d1i=2.5; recall=1.0]
[d0i=8.878906527675738; d1i=2.5; recall=0.998]
[d0i=8.87890652767574; d1i=2.5; recall=1.0]
[d0i=8.87890652767574; d1i=2.5; recall=1.0]
[d0i=8.87890652767574; d1i=2.5; recall=1.0]
[d0i=8.87890652767574; d1i=2.5; recall=1.0]
