############################################################
2020-08-10 08:04:09
[DataFrame Name] report/rec/rec_unsupervised_[1_1_1]_[1_1_3]_[0.1]_[30]/result_df.pkl
[Normal Mean] 1_1_1
[Abnormal Mean] 
[Model] rec_unsupervised
[Eta] 1.0
[Epochs] 100
[Cut Threshold with 0.05 FP Rate] 0.15149333029985423
[Cut Threshold with 0.01 FP Rate] 0.19152295619249343
---------------------
============================================================
Recall when d0i changes (FPR=10%):
[d0i=20.25; d1i=2.5; recall=1.0]
[d0i=11.792514498875843; d1i=2.5; recall=1.0]
[d0i=11.79251449887584; d1i=2.5; recall=1.0]
[d0i=11.79251449887584; d1i=2.5; recall=1.0]
[d0i=11.792514498875843; d1i=2.5; recall=1.0]
[d0i=11.792514498875843; d1i=2.5; recall=1.0]
[d0i=11.792514498875843; d1i=2.5; recall=1.0]
[d0i=11.79251449887584; d1i=2.5; recall=1.0]
[d0i=11.792514498875843; d1i=2.5; recall=1.0]
[d0i=11.792514498875843; d1i=2.5; recall=1.0]
[d0i=11.79251449887584; d1i=2.5; recall=1.0]
[d0i=11.792514498875839; d1i=2.5; recall=1.0]
[d0i=11.792514498875843; d1i=2.5; recall=1.0]
[d0i=0.725870195848437; d1i=2.5; recall=0.002]
[d0i=0.725870195848437; d1i=2.5; recall=0.018]
[d0i=0.725870195848437; d1i=2.5; recall=0.385]
[d0i=0.725870195848437; d1i=2.5; recall=0.257]
[d0i=0.725870195848437; d1i=2.5; recall=0.002]
[d0i=0.7258701958484373; d1i=2.5; recall=0.009]
[d0i=0.725870195848437; d1i=2.5; recall=0.153]
[d0i=0.725870195848437; d1i=2.5; recall=0.472]
[d0i=0.725870195848437; d1i=2.5; recall=0.02]
[d0i=0.725870195848437; d1i=2.5; recall=0.004]
[d0i=0.725870195848437; d1i=2.5; recall=0.028]
[d0i=0.725870195848437; d1i=2.5; recall=0.434]
[d0i=5.769263838708299; d1i=2.5; recall=1.0]
[d0i=5.769263838708299; d1i=2.5; recall=1.0]
[d0i=5.769263838708298; d1i=2.5; recall=0.973]
[d0i=5.769263838708299; d1i=2.5; recall=1.0]
[d0i=5.769263838708298; d1i=2.5; recall=1.0]
[d0i=5.769263838708299; d1i=2.5; recall=1.0]
[d0i=5.769263838708298; d1i=2.5; recall=0.986]
[d0i=5.769263838708298; d1i=2.5; recall=1.0]
[d0i=5.769263838708299; d1i=2.5; recall=1.0]
[d0i=5.769263838708297; d1i=2.5; recall=1.0]
[d0i=5.769263838708297; d1i=2.5; recall=1.0]
[d0i=5.769263838708298; d1i=2.5; recall=0.985]
[d0i=18.39180970526562; d1i=2.5; recall=1.0]
[d0i=18.39180970526562; d1i=2.5; recall=1.0]
[d0i=18.39180970526562; d1i=2.5; recall=1.0]
[d0i=18.39180970526562; d1i=2.5; recall=1.0]
[d0i=18.39180970526562; d1i=2.5; recall=1.0]
[d0i=18.39180970526562; d1i=2.5; recall=1.0]
[d0i=18.39180970526562; d1i=2.5; recall=1.0]
[d0i=18.39180970526562; d1i=2.5; recall=1.0]
[d0i=18.39180970526562; d1i=2.5; recall=1.0]
[d0i=18.39180970526562; d1i=2.5; recall=1.0]
[d0i=18.39180970526562; d1i=2.5; recall=1.0]
[d0i=18.39180970526562; d1i=2.5; recall=1.0]
[d0i=17.242508064783745; d1i=2.5; recall=1.0]
[d0i=17.24250806478375; d1i=2.5; recall=1.0]
[d0i=17.242508064783745; d1i=2.5; recall=1.0]
[d0i=17.242508064783745; d1i=2.5; recall=1.0]
[d0i=17.242508064783745; d1i=2.5; recall=1.0]
[d0i=17.242508064783745; d1i=2.5; recall=1.0]
[d0i=17.242508064783745; d1i=2.5; recall=1.0]
[d0i=17.242508064783745; d1i=2.5; recall=1.0]
[d0i=17.24250806478375; d1i=2.5; recall=1.0]
[d0i=17.242508064783745; d1i=2.5; recall=1.0]
[d0i=17.242508064783745; d1i=2.5; recall=1.0]
[d0i=17.24250806478375; d1i=2.5; recall=1.0]
[d0i=4.265399309421419; d1i=2.5; recall=0.827]
[d0i=4.265399309421418; d1i=2.5; recall=0.983]
[d0i=4.265399309421418; d1i=2.5; recall=1.0]
[d0i=4.265399309421418; d1i=2.5; recall=0.999]
[d0i=4.265399309421419; d1i=2.5; recall=0.692]
[d0i=4.265399309421418; d1i=2.5; recall=0.97]
[d0i=4.265399309421418; d1i=2.5; recall=1.0]
[d0i=4.265399309421419; d1i=2.5; recall=1.0]
[d0i=4.265399309421418; d1i=2.5; recall=0.924]
[d0i=4.265399309421419; d1i=2.5; recall=0.887]
[d0i=4.265399309421418; d1i=2.5; recall=0.989]
[d0i=4.265399309421418; d1i=2.5; recall=1.0]
[d0i=1.4112252681762827; d1i=2.5; recall=0.913]
